fb_user_id,Name,link,message
100001303134303,Joshop Binara,http://www.facebook.com/profile.php?id=100001303134303,LOVE TO HAVE FUN http://a51.com.ar/Qd
100000604306169,Sarah Shan,http://www.facebook.com/profile.php?id=100000604306169,
100001361916272,Bart C Cosman,http://www.facebook.com/profile.php?id=100001361916272,add me
100000867982270,TheKingworld الملك.العالم,http://www.facebook.com/profile.php?id=100000867982270,"really

So niiiiiiiiiiiiiiiiiiiice

Also really

iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii

Like

Thaaaaaaaaaaaaaaaaaaaaaaaat"
100001047639788,David de Witte,http://www.facebook.com/profile.php?id=100001047639788,I love asian ladies. if you like me add me please
504184958,Thao Dang,http://www.facebook.com/x.simplythao,:3
100000958851870,Tokki Babi,http://www.facebook.com/tokki.da.cutie,
100000417139098,Saki Tsukishiro,http://www.facebook.com/profile.php?id=100000417139098,http://www.facebook.com/group.php?gid=121648937846077 sorry for promoting admins XD please join our group and upload your photos~ <3 thank you and enjoy the game^^
100000499300859,Mhakulet プリンセス,http://www.facebook.com/bhabiejia,-->>hello!<<--
100000357812748,Angela Nathalie Christiani,http://www.facebook.com/profile.php?id=100000357812748,Hi everyone....^^
535336047,Nima Daryaei,http://www.facebook.com/nimatd,Whitley Ngo
100000293324774,Lizzy Alley,http://www.facebook.com/ocean.moon.love,<3 ^^
100000394182343,Jay Thian,http://www.facebook.com/profile.php?id=100000394182343,hi.. u can find a lot of cute and lovely japanese girl here.. join this group : http://www.facebook.com/group.php?gid=175551776196
705047875,Reggie Andrews,http://www.facebook.com/reggie.andrews,"i love cute asian girls..come visit me in las vegas,nv"
100000472283727,Devi Liu,http://www.facebook.com/profile.php?id=100000472283727,<3
100000191492879,Rose Ann Sultan,http://www.facebook.com/nippyheart,"hey.... any beauty tips available here???
just wanna learn some... ^^"
100000545734049,Lisa Ng,http://www.facebook.com/profile.php?id=100000545734049,"Welcome to Sweet Beauty ! Please visit our facebook group : http://www.facebook.com/group.php?v=info&gid=185507593774 
Vote to help us know and order what YOU guys want to have in affordable prices ! Accessories, Mirrors, Shimmer sticks, & Circle lenses !"
585702752,Tiongren Saw,http://www.facebook.com/tiongren,LIKES
100000414624317,Silvana Su,http://www.facebook.com/shiruboo,*3*♥
100000191492879,Rose Ann Sultan,http://www.facebook.com/nippyheart,"love it.... ^^
"
1143192720,Ple Maple,http://www.facebook.com/ladynextdoor,I'm a cute cute girl in cute cute Asia world. ^^
1330466465,Nicholas Loyal,http://www.facebook.com/profile.php?id=1330466465,Asian girls are amazingly beautiful and wonderuflly athletic...i really like that!!:)
1596138550,Peter Wang,http://www.facebook.com/profile.php?id=1596138550,"Nice to meet you at facebook, have a wonderful week !
* Greetings of Miss Asia USA based in Los Angeles since 1988, and now accepting application and recommendation to participate the 22nd Miss Asia USA Pageant scheduled to be on August 21st 2010."
100000035676351,Matthew Holyoake Santos,http://www.facebook.com/profile.php?id=100000035676351,"Cute Asian girls needing a online body-guard from dirty old peverts,add me for the job or as a friend"
553422098,Nicole Ding,http://www.facebook.com/Nicoworld,"HELLO ~~HERE HAS DAINTY MASKS FOR SALES, WE HAVE A LOT OF PROMOTIONS FOR ALL MEMBERS~~http://www.facebook.com/inbox/readmessage.php?t=1139851867111&f=1&e=0#/group.php?gid=83527344607"
1781175690,Liu Yang,http://www.facebook.com/AlexanderLiu,Anyone wanna be friends ?
686069674,Hek Lupe,http://www.facebook.com/EmcTeaF,add me yo
1698049799,Jake Harper,http://www.facebook.com/profile.php?id=1698049799,hey hey add me if you want =)
728891913,Sally Rose Mei,http://www.facebook.com/sallyrosemei,no one added pics? lol.
685540250,Cicely Florianne Bulawin,http://www.facebook.com/cicely777,hi. ^_^
815817541,BeaJuliet Mae Mariñas,http://www.facebook.com/BeaJulietMae,"im asian and not that cute but i wanna be in this group. yipee!!!

--------//////-------- PEEK
------( o o )-------- A
-oo0--(_)-0oo---  BOO

<3 <3 <3 <3 <3"
1019074580,Is Wang,http://www.facebook.com/profile.php?id=1019074580,"Hi, nice to meet you at the facebook.  You are invited to join the Miss Asia USA Fans Club by sending your photos to emai at: missasiausa520@yahoo.com 
* Announcement: The 21st Miss Asia USA Pageant final competition is to be held at the historical Alex T"
1272243303,'Umi Kâede,http://www.facebook.com/ohmykawaii,"only cuteness is allowed...
ehehe
i love it here ^_^-"
134900508,Alli Jiang,http://www.facebook.com/allijiang,"This group totally bootlegged my flickr gorup <3 Cute Cute Asian Girls <3, including the description~=_=
http://www.flickr.com/groups/cuteasian/
"
292400340,Litta Jung,http://www.facebook.com/littachaneljung,SO CUTE~ 
535060646,Nia Gharou,http://www.facebook.com/profile.php?id=535060646,Whats up Cute Cute girls!?^^ We should take over the world...lol..Hehe!
523670073,Jie Zhang,http://www.facebook.com/profile.php?id=523670073,"what a lovely group here~~

:P 

Nimenhao, meinvmen~~"
502755551,Derek K,http://www.facebook.com/profile.php?id=502755551,"Sorry girls, but i have to join this group because i am in love with cute asian girls. Boot me if you like but i can't help myself. "
797100289,Flora Wang,http://www.facebook.com/profile.php?id=797100289,"OMG, Pinky, you are so hot. Love your picture so much"
